,hour,dayofweek,month,year,day_before
2018-08-06 00:00:00,0,0,8,2018,37158.0
2018-08-06 01:00:00,1,0,8,2018,34283.0
2018-08-06 02:00:00,2,0,8,2018,32094.0
2018-08-06 03:00:00,3,0,8,2018,30543.0
2018-08-06 04:00:00,4,0,8,2018,29791.0
2018-08-06 05:00:00,5,0,8,2018,29854.0
2018-08-06 06:00:00,6,0,8,2018,31197.0
2018-08-06 07:00:00,7,0,8,2018,33182.0
2018-08-06 08:00:00,8,0,8,2018,35645.0
2018-08-06 09:00:00,9,0,8,2018,37810.0
2018-08-06 10:00:00,10,0,8,2018,39902.0
2018-08-06 11:00:00,11,0,8,2018,42189.0
2018-08-06 12:00:00,12,0,8,2018,43954.0
2018-08-06 13:00:00,13,0,8,2018,45372.0
2018-08-06 14:00:00,14,0,8,2018,46534.0
2018-08-06 15:00:00,15,0,8,2018,47154.0
2018-08-06 16:00:00,16,0,8,2018,46989.0
2018-08-06 17:00:00,17,0,8,2018,46816.0
2018-08-06 18:00:00,18,0,8,2018,46760.0
2018-08-06 19:00:00,19,0,8,2018,45641.0
2018-08-06 20:00:00,20,0,8,2018,44057.0
2018-08-06 21:00:00,21,0,8,2018,43256.0
2018-08-06 22:00:00,22,0,8,2018,41552.0
2018-08-06 23:00:00,23,0,8,2018,38500.0
