,hour,dayofweek,month,year,day_before
2018-08-09 00:00:00,0,3,8,2018,37158.0
2018-08-09 01:00:00,1,3,8,2018,34283.0
2018-08-09 02:00:00,2,3,8,2018,32094.0
2018-08-09 03:00:00,3,3,8,2018,30543.0
2018-08-09 04:00:00,4,3,8,2018,29791.0
2018-08-09 05:00:00,5,3,8,2018,29854.0
2018-08-09 06:00:00,6,3,8,2018,31197.0
2018-08-09 07:00:00,7,3,8,2018,33182.0
2018-08-09 08:00:00,8,3,8,2018,35645.0
2018-08-09 09:00:00,9,3,8,2018,37810.0
2018-08-09 10:00:00,10,3,8,2018,39902.0
2018-08-09 11:00:00,11,3,8,2018,42189.0
2018-08-09 12:00:00,12,3,8,2018,43954.0
2018-08-09 13:00:00,13,3,8,2018,45372.0
2018-08-09 14:00:00,14,3,8,2018,46534.0
2018-08-09 15:00:00,15,3,8,2018,47154.0
2018-08-09 16:00:00,16,3,8,2018,46989.0
2018-08-09 17:00:00,17,3,8,2018,46816.0
2018-08-09 18:00:00,18,3,8,2018,46760.0
2018-08-09 19:00:00,19,3,8,2018,45641.0
2018-08-09 20:00:00,20,3,8,2018,44057.0
2018-08-09 21:00:00,21,3,8,2018,43256.0
2018-08-09 22:00:00,22,3,8,2018,41552.0
2018-08-09 23:00:00,23,3,8,2018,38500.0
