,hour,dayofweek,month,year,day_before
2018-08-08 00:00:00,0,2,8,2018,37158.0
2018-08-08 01:00:00,1,2,8,2018,34283.0
2018-08-08 02:00:00,2,2,8,2018,32094.0
2018-08-08 03:00:00,3,2,8,2018,30543.0
2018-08-08 04:00:00,4,2,8,2018,29791.0
2018-08-08 05:00:00,5,2,8,2018,29854.0
2018-08-08 06:00:00,6,2,8,2018,31197.0
2018-08-08 07:00:00,7,2,8,2018,33182.0
2018-08-08 08:00:00,8,2,8,2018,35645.0
2018-08-08 09:00:00,9,2,8,2018,37810.0
2018-08-08 10:00:00,10,2,8,2018,39902.0
2018-08-08 11:00:00,11,2,8,2018,42189.0
2018-08-08 12:00:00,12,2,8,2018,43954.0
2018-08-08 13:00:00,13,2,8,2018,45372.0
2018-08-08 14:00:00,14,2,8,2018,46534.0
2018-08-08 15:00:00,15,2,8,2018,47154.0
2018-08-08 16:00:00,16,2,8,2018,46989.0
2018-08-08 17:00:00,17,2,8,2018,46816.0
2018-08-08 18:00:00,18,2,8,2018,46760.0
2018-08-08 19:00:00,19,2,8,2018,45641.0
2018-08-08 20:00:00,20,2,8,2018,44057.0
2018-08-08 21:00:00,21,2,8,2018,43256.0
2018-08-08 22:00:00,22,2,8,2018,41552.0
2018-08-08 23:00:00,23,2,8,2018,38500.0
