,hour,dayofweek,month,year,day_before
2018-08-03 00:00:00,0,4,8,2018,37158.0
2018-08-03 01:00:00,1,4,8,2018,34283.0
2018-08-03 02:00:00,2,4,8,2018,32094.0
2018-08-03 03:00:00,3,4,8,2018,30543.0
2018-08-03 04:00:00,4,4,8,2018,29791.0
2018-08-03 05:00:00,5,4,8,2018,29854.0
2018-08-03 06:00:00,6,4,8,2018,31197.0
2018-08-03 07:00:00,7,4,8,2018,33182.0
2018-08-03 08:00:00,8,4,8,2018,35645.0
2018-08-03 09:00:00,9,4,8,2018,37810.0
2018-08-03 10:00:00,10,4,8,2018,39902.0
2018-08-03 11:00:00,11,4,8,2018,42189.0
2018-08-03 12:00:00,12,4,8,2018,43954.0
2018-08-03 13:00:00,13,4,8,2018,45372.0
2018-08-03 14:00:00,14,4,8,2018,46534.0
2018-08-03 15:00:00,15,4,8,2018,47154.0
2018-08-03 16:00:00,16,4,8,2018,46989.0
2018-08-03 17:00:00,17,4,8,2018,46816.0
2018-08-03 18:00:00,18,4,8,2018,46760.0
2018-08-03 19:00:00,19,4,8,2018,45641.0
2018-08-03 20:00:00,20,4,8,2018,44057.0
2018-08-03 21:00:00,21,4,8,2018,43256.0
2018-08-03 22:00:00,22,4,8,2018,41552.0
2018-08-03 23:00:00,23,4,8,2018,38500.0
