,hour,dayofweek,month,year,day_before
2018-08-04 00:00:00,0,5,8,2018,37158.0
2018-08-04 01:00:00,1,5,8,2018,34283.0
2018-08-04 02:00:00,2,5,8,2018,32094.0
2018-08-04 03:00:00,3,5,8,2018,30543.0
2018-08-04 04:00:00,4,5,8,2018,29791.0
2018-08-04 05:00:00,5,5,8,2018,29854.0
2018-08-04 06:00:00,6,5,8,2018,31197.0
2018-08-04 07:00:00,7,5,8,2018,33182.0
2018-08-04 08:00:00,8,5,8,2018,35645.0
2018-08-04 09:00:00,9,5,8,2018,37810.0
2018-08-04 10:00:00,10,5,8,2018,39902.0
2018-08-04 11:00:00,11,5,8,2018,42189.0
2018-08-04 12:00:00,12,5,8,2018,43954.0
2018-08-04 13:00:00,13,5,8,2018,45372.0
2018-08-04 14:00:00,14,5,8,2018,46534.0
2018-08-04 15:00:00,15,5,8,2018,47154.0
2018-08-04 16:00:00,16,5,8,2018,46989.0
2018-08-04 17:00:00,17,5,8,2018,46816.0
2018-08-04 18:00:00,18,5,8,2018,46760.0
2018-08-04 19:00:00,19,5,8,2018,45641.0
2018-08-04 20:00:00,20,5,8,2018,44057.0
2018-08-04 21:00:00,21,5,8,2018,43256.0
2018-08-04 22:00:00,22,5,8,2018,41552.0
2018-08-04 23:00:00,23,5,8,2018,38500.0
