,hour,dayofweek,month,year,day_before
2018-08-05 00:00:00,0,6,8,2018,37158.0
2018-08-05 01:00:00,1,6,8,2018,34283.0
2018-08-05 02:00:00,2,6,8,2018,32094.0
2018-08-05 03:00:00,3,6,8,2018,30543.0
2018-08-05 04:00:00,4,6,8,2018,29791.0
2018-08-05 05:00:00,5,6,8,2018,29854.0
2018-08-05 06:00:00,6,6,8,2018,31197.0
2018-08-05 07:00:00,7,6,8,2018,33182.0
2018-08-05 08:00:00,8,6,8,2018,35645.0
2018-08-05 09:00:00,9,6,8,2018,37810.0
2018-08-05 10:00:00,10,6,8,2018,39902.0
2018-08-05 11:00:00,11,6,8,2018,42189.0
2018-08-05 12:00:00,12,6,8,2018,43954.0
2018-08-05 13:00:00,13,6,8,2018,45372.0
2018-08-05 14:00:00,14,6,8,2018,46534.0
2018-08-05 15:00:00,15,6,8,2018,47154.0
2018-08-05 16:00:00,16,6,8,2018,46989.0
2018-08-05 17:00:00,17,6,8,2018,46816.0
2018-08-05 18:00:00,18,6,8,2018,46760.0
2018-08-05 19:00:00,19,6,8,2018,45641.0
2018-08-05 20:00:00,20,6,8,2018,44057.0
2018-08-05 21:00:00,21,6,8,2018,43256.0
2018-08-05 22:00:00,22,6,8,2018,41552.0
2018-08-05 23:00:00,23,6,8,2018,38500.0
